Página	Palabra	Significado
2	Reich	El Reich alemán (en alemán, das Deutsche Reich, literalmente «el Imperio Alemán») fue el nombre oficial del Estado alemán entre los años 1871 y 1945.
2	Pesquisa	Investigación que se hace de una cosa para descubrir o averiguar algo, en especial la que realiza la policía.
2	Fürher	Jurídicamente fue el cargo político en reemplazo al de Presidente del Reich de Alemania en 1933, tras la llegada de Adolf Hitler al poder el 2 de agosto de 1934
2	ominosa	Que es abominable y merece ser condenado y aborrecido.
8	Columbrar	Ver desde lejos una cosa sin distinguirla bien.
8	Rellanos	Superficie horizontal y plana, mayor que el escalón, en que termina cada tramo de una escalera
8	Belfos	de la persona que tiene el labio inferior más grueso que el superior.
8	Vicaria	Planta herbácea tropical que mide hasta 1 m de altura, de tallo muy ramificado, hojas opuestas de color verde y flores axilares grandes de coloración variable; se cultiva como planta ornamental y por sus propiedades medicinales.
8	Gruppenführer-SS	Jefe de Grupo
8	pérfida	[persona] Que es desleal a alguien que confía en él y muy malo.
9	Volk	 pueblo o nación
10	Bendlerstrasse	
12	patíbulo	Tablado o lugar en que se ejecuta la pena de muerte.
13	anodina	Que es insustancial o que carece de interés o importancia.
13	parquedad	Escasez de algo
13	coup de théâtre	una acción o giro sensacionalista o dramáticamente repentino de eventos, especialmente en una obra de teatro.
14	sinuosas	Que es poco claro y pretende ocultar la verdadera intención o propósito de sus acciones, objetivos o manifestaciones.
15	esbirros	Hombre que, a cambio de dinero, realiza las acciones violentas o amenazas que se le ordenan.
16	chaqué	Traje masculino de etiqueta compuesto de un saco, generalmente gris o negro, que a partir de la cintura se va estrechando hacia atrás formando dos faldones y se abrocha con un solo botón, que se combina con un pantalón de franela gris liso o a rayas; suele llevarse con un chaleco cruzado, camisa blanca, corbata sujeta con una aguja y sombrero de copa.
20	tautológica	 es una fórmula bien formada que resulta verdadera para cualquier interpretación
21	aletargar	Disminuir [algo] en su actividad de forma lenta y progresiva hasta casi cesar por completo.
21	corolario	Razonamiento, juicio o hecho que es consecuencia lógica de lo demostrado o sucedido anteriormente.
22	perogrullada	Afirmación que resulta superflua o simple por encerrar una verdad muy evidente.
29	insaculación	Poner en una bolsa, una urna u otro recipiente las papeletas o bolas de un sorteo antes de proceder a extraerlas.
34	capellán	Sacerdote encargado del servicio religioso de una iglesia no parroquial, como una comunidad religiosa, un hospital, etc.
34	otrora	En un tiempo pasado indeterminado que queda lejano del momento del cual se habla; generalmente contrapone la situación descrita con otra situación anterior.
34	rollizo	Que está grueso y fuerte y tiene un aspecto saludable.
36	exangües	Que está agotado y completamente falto de fuerzas.
39	execrables	Que merece ser condenado o criticado con severidad.
40	rubicundo	Que es de color rubio que tira a rojo.
45	armisticio	Acuerdo que firman dos o más países en guerra cuando deciden dejar de combatir durante cierto tiempo con el fin de discutir una posible paz.
45	fatuos	Que se muestra engreído en su actitud, comportamiento o manera de hablar.
48	sórdida	Que es miserable o sucio.
50	palaciegas	Del palacio o relacionado con él.
50	enroques	En el juego del ajedrez, jugada en la que se mueven simultáneamente el rey, que se desplaza dos escaques hacia un lado, y la torre, que salta por encima del rey y se coloca junto a él.
51	pírrica	Danza marcial de la antigua Grecia en que se imitaba un combate.
53	pergeñar	Hacer el esbozo o idea previa de un trabajo o una acción, generalmente de manera rápida y con mayor o menor habilidad, o sin concederle mucha importancia.
53	obcecado	La idea de obcecar alude a encandilar, cegar o alucinar. Alguien que está obcecado, por lo tanto, se encuentra obnubilado u ofuscado.
53	peroratas	Discurso largo y poco oportuno que se hace con cierto apasionamiento y vehemencia.
53	solazaba	Dar solaz o regocijo a una persona 
54	apotegma	Frase o sentencia breve en la cual se expresa un pensamiento o enseñanza.
56	mesarse	Arrancar el cabello o la barba con las manos, o tirar con fuerza de ellos.
56	summa cum laude	Con la más grande distinción.
57	entomólogo	Que se dedica al estudio científico de los insectos.
59	novum organum	Nuevos instrumentos de la ciencia
